uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline,dbpedia_is_person
<http://dbpedia.org/resource/Bertrand_Russell>,Bertrand Russell,1.2645172094730188,91,25,116,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Olavo_de_Carvalho>,Olavo de Carvalho,1.2575208348289522,0,7,7,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Hiroki_Azuma>,Hiroki Azuma,1.2565832658649962,1,12,13,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Nikolas_Kompridis>,Nikolas Kompridis,1.253638975750211,0,12,12,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Judith_Revel>,Judith Revel,1.2474377824230745,0,6,6,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Eric_Voegelin>,Eric Voegelin,1.24720111633445,15,24,39,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Russell_Kirk>,Russell Kirk,1.2275793389626513,11,16,27,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Ahamed_Muhyudheen_Noorishah_Jeelani>,Ahamed Muhyudheen Noorishah Jeelani,1.2258970114526675,3,12,15,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Carlo_Michelstaedter>,Carlo Michelstaedter,1.2233555653798884,3,22,25,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Noëlle_McAfee>,Noëlle McAfee,1.223154230176863,0,6,6,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Tamaki_Saitō>,Tamaki Saitō,1.218095669863814,0,1,1,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Vincenzo_Di_Nicola>,Vincenzo Di Nicola,1.2113504549164988,0,7,7,0,2,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Scipione_Ammirato>,Scipione Ammirato,1.205757521550267,8,14,22,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Theodor_W._Adorno>,Theodor W. Adorno,1.200147334037184,19,21,40,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Agustín_García_Calvo>,Agustín García Calvo,1.1878050305276038,10,10,20,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Henri_de_Saint-Simon>,Henri de Saint-Simon,1.1861387727563453,12,18,30,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Clement_of_Alexandria>,Clement of Alexandria,1.176340739017603,9,13,22,0,0,0,0,0,0,0,0,0,[],False,False,False,True
