uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline
<http://dbpedia.org/resource/Hugo_Herrera_(Chilean_philosopher)>,Hugo Herrera (Chilean philosopher),0.3377680123949297,0,2,2,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Theodor_Eimer>,Theodor Eimer,0.3376949374199293,1,3,4,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Ricardo_Reis>,Ricardo Reis,0.3376314778111542,0,2,2,2,0,0,0,0,0,0,0,0,[Macroeconomics],false,false,false
<http://dbpedia.org/resource/Lei_Stanley_Qi>,Lei Stanley Qi,0.33754642857142864,0,0,0,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Action!_(programming_language)>,Action! (programming language),0.3374597481355902,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Alain_Badiou>,Alain Badiou,0.3374456482096257,13,8,21,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Nouriel_Roubini>,Nouriel Roubini,0.337382836771268,0,4,4,2,0,0,0,0,0,0,0,0,[International economics],false,false,false
<http://dbpedia.org/resource/Ulrich_Kortz>,Ulrich Kortz,0.3373703571428572,0,0,0,1,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Fernando_González_(writer)>,Fernando González (writer),0.3373697315678623,2,5,7,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Howell_Tong>,Howell Tong,0.3373322398445749,1,3,4,1,9,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Mustafa_Kemal_Atatürk>,Mustafa Kemal Atatürk,0.33731330630917833,1,2,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Erich_Leo_Lehmann>,Erich Leo Lehmann,0.33730505977517494,0,4,4,1,4,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Niles_Eldredge>,Niles Eldredge,0.33730141968463845,0,2,2,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Pierre_Boutang>,Pierre Boutang,0.3372331685513489,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Parmenides>,Parmenides,0.3371035584621986,13,2,15,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Laurence_Houlgate>,Laurence Houlgate,0.3370996310141734,0,5,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Benjamin_List>,Benjamin List,0.3370492947880769,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Chinese_philosophy>,Chinese philosophy,0.33695515917968755,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Richard_Sennett>,Richard Sennett,0.33693905751913134,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gerard_van_Swieten>,Gerard van Swieten,0.3368698380752841,1,0,1,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Robert_McCance>,Robert McCance,0.3368254464285715,0,2,2,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Vladimir_Vernadsky>,Vladimir Vernadsky,0.3367662824648859,1,3,4,1,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Colin_Maclaurin>,Colin Maclaurin,0.3366560049087744,0,2,2,1,7,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gary_M._Feinman>,Gary M. Feinman,0.3364687500000001,0,0,0,3,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gretchen_Kalonji>,Gretchen Kalonji,0.3364687500000001,0,1,1,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Carl_Rettenmeyer>,Carl Rettenmeyer,0.3364687500000001,1,1,2,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Ludwig_Danzer>,Ludwig Danzer,0.3364687500000001,0,0,0,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Albert_Folch_Folch>,Albert Folch Folch,0.3364687500000001,0,0,0,1,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Norman_L._Bowen>,Norman L. Bowen,0.3364687500000001,1,0,1,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Harbour_(programming_language)>,Harbour (programming language),0.3364687500000001,1,2,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Wil_van_der_Aalst>,Wil van der Aalst,0.3364687500000001,0,0,0,0,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/William_Gilbert_(physician)>,William Gilbert (physician),0.3364687500000001,0,2,2,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/George_Stout>,George Stout,0.33643452758186543,2,6,8,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/AIMACO>,AIMACO,0.33638906250000006,1,2,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Friedrich_Stromeyer>,Friedrich Stromeyer,0.3363848757727405,1,0,1,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Wendy_Suzuki>,Wendy Suzuki,0.33629166666666677,0,0,0,2,3,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/George_Hill_Mathewson_Lawrence>,George Hill Mathewson Lawrence,0.3361417926796925,0,1,1,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Bernard-Henri_Lévy>,Bernard-Henri Lévy,0.33613878957559096,0,8,8,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/James_Reist_Stoner_Jr.>,James Reist Stoner Jr.,0.3361205795731873,0,1,1,1,0,0,0,0,0,0,0,0,[],false,false,false
